Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
SARL DE LA GUICHARDIÈRE - MARAICHER;Fruits / légumes;;;;La Guichardière;72390;;DOLLON;;72118;48.0543659;0.54649599;;06 82 60 51 93;;;marchedelaguichardiere@gmail.com;;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.0543659,0.54649599;Sarthe
MIEL ET MERVEILLES... NATACHA BOULAY APICULTRICE;Produits apicoles;;;;La Holière;72110;;BONNETABLE;;72039;48.2034094;0.4295885;;06 38 39 69 71;;;natacha-boulay@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;Chèques bancaires et postaux;48.2034094,0.4295885;Sarthe
VENTE DE LÉGUMES - STEPHANE BARBIER - AU BIO JARDIN;Fruits / légumes;;;;La Motte;53110;LA BAROCHE GONDOUIN;LASSAY-LES-CHATEAUX;;53127;48.47248;-0.431466;;;;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;48.47248,-0.431466;Mayenne
LA MENAGERIE;"Brioche et viennoiserie;Cosmétique;Elevage;Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Plantes et fleurs;Produits apicoles;Rillettes;Viande;Volailles / Oeufs";;;;La Ménagerie;72270;;MALICORNE-SUR-SARTHE;;72179;47.8124585;-0.0933691;;06 20 52 84 86;;;cedric.hamon3@gmail.com;;;;Facebook||https://www.facebook.com/sarlprevert;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Agriculture Biologique (AB);;;;;;;;;;;oui;;;;oui;;;;oui;Français;;;oui;01/01/2022||31/12/2022||Ouvert à la vente le vendredi de 16h30 à 19h00||||||||||||||||||||||||||||||||||||||||16:30||19:00||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.8124585,-0.0933691;Sarthe
L'ATELIER DU MIEL;Produits apicoles;;;;La Peignerie;44370;;MONTRELAIS;;44104;47.420042;-0.974011;;;02 40 98 60 64;;ala.branche@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.420042,-0.974011;Loire-Atlantique
COR VAN DEN HAM - JEAN-MARIE CHARRIER ET NICOLAS GASNOT - MARAICHER;Fruits / légumes;;;;Le Grillon;72110;;SAINT-CELERIN;;72271;48.107891;0.42162699;;06 38 16 62 73;02 43 29 44 03;;gaeclegrillon72@hotmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.107891,0.42162699;Sarthe
VERGERS DU PRÉ FERRON;"Confiture;Fruits / légumes";;;;Le Pre Ferron - MELAY;49120;;CHEMILLE-EN-ANJOU;;49092;47.198865;-0.725907;;06 83 24 53 26;;;au-verger-du-pre@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;oui;;;;;;;non;;oui;;;;;;;;;;;;oui;;;;;oui;;;47.198865,-0.725907;Maine-et-Loire
NOIX BIO D'ANJOU;"Confiserie / chocolat;Huile;Produits du terroir (boutique);Sel;Vins";;;;Le Rotas;49330;;ETRICHE;;49132;47.6461289;-0.4347629;;06 73 69 32 58;02 41 42 88 91;;contact@paulgautreau.fr;http://www.paulgautreau.fr/#masque;;;;;"Agriculture / horticulture / Pêche;Viticulture";"Agriculture Biologique (AB);Ecolabel européen";;;;;;;Français;;;non;oui;;;non;non;non;non;non;non;Français;non;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.6461289,-0.4347629;Maine-et-Loire
BRASSERIE LA FLORENCIÈRE;Bières;;;;Lieu-dit La Palastriere;49190;;VAL-DU-LAYON;;49292;47.3025286;-0.6934533;;06 75 47 53 56;;;brasserielaflorenciere@gmail.com;https://www.facebook.com/brasserielaflorenciere/;;;Facebook||https://www.facebook.com/brasserielaflorenciere/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;Français;;;;;;;;;;;;;;;;oui;||||Ouvert les vendredis et samedis.||||||||||||||||||||||||||||||||||||||||16:00||19:30||10:00||||||19:30||||||||;;;;;;;47.3025286,-0.6934533;Maine-et-Loire
CHÂTEAU DE PLAISANCE;Vins;;;;Lieu-dit Plaisance;49190;;ROCHEFORT-SUR-LOIRE;;49259;47.3251097;-0.6394917;;;02 41 78 33 01;;bonjour@chateaudeplaisance.com;http://chateaudeplaisance.com;;;Instagram||https://www.instagram.com/chateaudeplaisance/;;Viticulture;"Agriculture biodynamique (Demeter);Agriculture Biologique (AB)";;;;;;;"Anglais;Français";"Anjou Blanc;Anjou Rouge;Anjou Villages;Coteaux du Layon Premier Cru Chaume;Crémant de Loire;Quarts de Chaume grand cru;Savennières";oui;oui;oui;;;;oui;;;;oui;"Français;Anglais";;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3251097,-0.6394917;Maine-et-Loire
FERME DE LA FROGERIE TORFOU;Viande;;;1 La Frogerie;TORFOU;49660;;SEVREMOINE;;49301;47.031583;-1.1001172;;07 71 00 14 99;;;fermedelafrogerietorfou@orange.fr;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;47.031583,-1.1001172;Maine-et-Loire
DOMAINE DU CAILLOU;;;;1, rue des Déportés;;49730;;TURQUANT;;49358;47.21602;0.0277;;06 10 44 16 45;02 41 38 11 21;02 41 38 11 21;regisvacher@neuf.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.21602,0.0277;Maine-et-Loire
CULTIVONS LES CAILLOUX;"Bijou;Céramique, faïence, émail;Cosmétique;Décoration d'intérieur;Maroquinerie;Poterie;Textile / Habillement / Chaussure;Travail du bois";;;119 rue des douves;Ancenis;44150;;ANCENIS-SAINT-GEREON;;44003;47.3646553;-1.1783636;;;02 72 52 60 90;;contact@cultivonslescailloux.org;https://cultivonslescailloux.org/;;;"Facebook||https://www.facebook.com/cultivonslescailloux/;Instagram||https://www.instagram.com/cultivonslescailloux/";;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;"Partenariat||DEGPDL044V50HIHT;Partenariat||DEGPDL044V50HII9";oui;;;;;oui;;"Cartes bancaires;Espèces";47.3646553,-1.1783636;Loire-Atlantique
LE FOURNIL DU BARBU;Pain / Pâtisserie;;;12 Lieu-dit La Grande Parais;;44650;;CORCOUE-SUR-LOGNE;;44156;46.97748;-1.60492;;06 23 04 17 35;;;contact@lefournildubarbu.fr;https://www.facebook.com/Le-Fournil-du-Barbu-1541014802865022/;;;Facebook||https://www.facebook.com/Le-Fournil-du-Barbu-1541014802865022;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;oui;||||||||||||||||09:00||11:30||||||||||||||||||||||09:00||11:30||||||||||||||||||||;;;;;;;46.97748,-1.60492;Loire-Atlantique
LE CHAMP LIBRE;Fruits / légumes;;;12 route de la Haute Macrère;La Ménitré;49250;;LA MENITRE;;49201;47.4291608;-0.2746203;;06 52 92 24 44;;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.4291608,-0.2746203;Maine-et-Loire
DOMAINE DE LA CHEVRUE;Vins;;;12 rue de la Chevrue;;44120;;VERTOU;;44215;47.1789828;-1.4338385;;06 24 38 61 13;02 40 06 16 32;;yannickleble@yahoo.fr;http://www.muscadet-la-chevrue.com;;;;;Viticulture;Caves touristiques vignoble de Loire;;;;;;;;"Gros Plant du Pays Nantais;Muscadet;Muscadet Sèvre-et-Maine";;;;;;;;;;;;;;;;;;;;;;;47.1789828,-1.4338385;Loire-Atlantique
MACÉ JEAN-FRANÇOIS - SEL;;;;12 Rue du parc grand chemin;Saillé;44350;;GUERANDE;;44069;47.29957;-2.43113;;06 32 73 53 70;02 40 62 34 67;;jean-francois.mace@orange.fr;https://seletfleurdesel.monsite-orange.fr/;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;||||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||||||||;;;;;;;47.29957,-2.43113;Loire-Atlantique
SAFARINE;Pain / Pâtisserie;;;13 Lotissement de l'Aucherie;;53410;;LAUNAY-VILLIERS;;53129;48.132851;-1.007114;;07 81 82 34 38;;;;https://www.safarine.net;;;Facebook||https://www.facebook.com/people/Safarine-Paysan-Boulanger/100004439535548;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.132851,-1.007114;Mayenne
SAVONNERIE FLEURS DE SEL;;;;13 rue des deux moulins;Mouzac;44350;;GUERANDE;;44069;47.29743;-2.41491;;;06 61 19 01 48;;savonneriefleursdel@gmail.com;https://www.institutfleursdesel.com/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;||||||||13:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||12:30||||||||||||;;;;;;;47.29743,-2.41491;Loire-Atlantique
CONCEPT STORE GALLERY - ACTIVE RENAISSANCE;;;;140 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28653;-2.39154;;06 15 49 12 21;;;psm@active-art.net;http://www.concept-store-gallery.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.28653,-2.39154;Loire-Atlantique
EURL JANNOT;Fruits de mer;;;16 impasse des Champs marins;Pend-hué;44350;;SAINT-MOLF;;44183;47.40434;-2.40835;;;02 40 62 53 39;;champs-marins@orange.fr;https://www.moulesetcoquillages.fr/;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.40434,-2.40835;Loire-Atlantique
FERME DU PLAISIR DORÉ - EARL DES BOTTINIÈRES;Fromage et produit laitier;;;16 Les Botinières;LE MESNIL-EN-VALLEE;49410;;MAUGES-SUR-LOIRE;;49244;47.359018;-0.905466;;06 35 92 95 69;;;fermeplaisirdore@gmail.com;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;Français;;non;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||;;;;non;;;47.359018,-0.905466;Maine-et-Loire
VENTE DE POISSONS DE LOIRE;Poisson;;;16 route de la Barbonnière;LE MESNIL-EN-VALLEE;49410;;MAUGES-SUR-LOIRE;;49244;47.3720861;-0.9295974;;06 13 32 12 90;;;;;;;;;Agriculture / horticulture / Pêche;;;non;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3720861,-0.9295974;Maine-et-Loire
ATELIER A FLANC DE COLLINE - CÉRAMIQUE;;;;17 place de l'église;;44530;;GUENROUET;;44068;47.52009;-1.95006;;;02 40 87 79 32;;florence.truchon@sfr.fr;http://www.aflancdecolline.odexpo.com;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;;;;;;;"Chèques bancaires et postaux;Espèces";47.52009,-1.95006;Loire-Atlantique
MAISON GEORGES LARNICOL;"Biscuit;Confiserie / chocolat;Pain / Pâtisserie";;;17 Rue Saint Michel;Intra-muros;44350;;GUERANDE;;44069;47.32754;-2.42801;;;02 51 16 93 96;;contact@larnicol.com;http://www.larnicol.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;||||||||10:00||19:00||||||10:00||13:00||14:00||19:00||09:30||19:00||||||10:00||13:00||14:00||19:00||10:00||19:00||||||09:30||19:30||||||10:00||19:00||||;;;;;;"Cartes bancaires;Espèces";47.32754,-2.42801;Loire-Atlantique
CIDRERIE KÉRISAC;Produits du terroir (boutique);;;18 - 20 rue André Caux;;44530;;GUENROUET;;44068;47.51963;-1.95588;;;02 40 87 61 55;;secretariat@kerisac.fr;http://www.kerisac.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.51963,-1.95588;Loire-Atlantique
CHOCOLATIER SÉCHER;Confiserie / chocolat;;;18 place Jean Guihard;;44130;;BLAIN;;44015;47.4758787;-1.7641834;;;02 40 79 08 35;;olivier-secher@hotmail.fr;http://www.patisseriesecher-blain.com/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.4758787,-1.7641834;Loire-Atlantique
FERME DU LAUNAY;"Fromage et produit laitier;Fruits / légumes;Viande;Volailles / Oeufs";;;18 rue du Launay Bruneau;;44115;;BASSE-GOULAINE;;44009;47.197043;-1.4584443;;06 37 80 39 14;02 51 71 02 19;02 51 71 02 19;earldulaunay.legumes@gmail.com;www.bienvenue-a-la-ferme.com/fr/pays-de-la-loire;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.197043,-1.4584443;Loire-Atlantique
EPICERIE FINE  - MAISON REIGNIER;"Bières;Biscuit;Confiserie / chocolat;Confiture;Eau;Epices / Condiment;Escargot;Foie gras;Fromage et produit laitier;Fruits / légumes;Glace;Huile;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Vins";;;19 rue de Bolton;;72000;;LE MANS;;72181;48.0049431;0.1976527;;;02 43 24 02 15;;contact@maisonreignier.com;http://www.maisonreignier.com;;;;;Agro-alimentaire;"Qualité Tourisme;Welcome ! C’est beau ici !";;oui;;;;;Anglais;"Coteaux d'Ancenis;Coteaux du Loir;Gros Plant du Pays Nantais;Jasnières;Muscadet;Muscadet Coteaux de la Loire";;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";48.0049431,0.1976527;Sarthe
LES RUCHERS DE L'ERDRE;"Pain / Pâtisserie;Produits apicoles;Produits du terroir (boutique)";;;190 La Havardière;;44390;;CASSON;;44027;47.4116317;-1.565105;;06 74 19 19 86;02 51 12 10 59;;lesruchersdelerdre@gmail.com;https://lesruchersdelerdre.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;||||Vente à la ferme, le 1er samedi du mois||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4116317,-1.565105;Loire-Atlantique
ELIXIR;"Bijou;Maroquinerie;Peinture;Textile / Habillement / Chaussure;Verre";;;2 Impasse de la Saline Verte;;44350;;GUERANDE;;44069;47.32065;-2.4536;;;02 40 45 67 74;;contact@laboutiqueelixir.fr;https://www.laboutiqueelixir.fr/bijoux.php;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;oui;;;;;oui;;;01/01/2021||31/12/2021||||||09:00||17:00||||||09:00||17:00||||||09:00||17:00||||||09:00||17:00||||||09:00||17:00||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.32065,-2.4536;Loire-Atlantique
COMPTOIR DE LA MER;"Biscuit;Pain / Pâtisserie;Produits du terroir (boutique)";;;2 quai Saint-Jacques;;44420;;LA TURBALLE;;44211;47.34672;-2.51058;;;02 40 62 80 05;;;https://www.comptoirdelamer.fr/magasins/la-turballe/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Complément horaires sur notre site internet||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.34672,-2.51058;Loire-Atlantique
MARC UZAN - CÉRAMISTE;Poterie;;;2 rue du Lavoir;;72370;;ARDENAY-SUR-MERIZE;;72007;47.9948395;0.4251342;;;02 43 89 64 87;;uzan.marc@yahoo.fr;http://marcuzan.fr/;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;47.9948395,0.4251342;Sarthe
TERRE DE SEL;"Bières;Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Confiture;Epices / Condiment;Fruits / légumes;Fruits de mer;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Sel;Spiritueux;Vins";;;2 Rue Saint-Michel;Intra-Muros;44350;;GUERANDE;;44069;47.3277;-2.42899;;;02 40 62 08 80;;;http://www.terredesel.com;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.3277,-2.42899;Loire-Atlantique
ALTERNATRI;;;;20 Rue des Giraumeries;;53940;;SAINT-BERTHEVIN;;53201;48.0530172;-0.8003648;;;024349456;;;;;;;;Industrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0530172,-0.8003648;Mayenne
LA FERME DU HALLAY;Fromage et produit laitier;;;20 rue des Noelles;;44690;;LA HAIE-FOUASSIERE;;44070;47.1701225;-1.4043972;;;06 71 64 24 17;;fermeduhallay@gmail.com;http://www.fermeduhallay.com/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;oui;oui;;oui;oui;oui;;;;;;;;;;;;47.1701225,-1.4043972;Loire-Atlantique
EARL L'UTOGNOME;Fruits / légumes;;;203 La Hunière (beaupréau);BEAUPREAU;49600;;BEAUPREAU-EN-MAUGES;;49023;47.219906;-0.935161;;;0241566002;;doublet.af@orange.fr;www.utognome.fr;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;non;;;;;oui;;;47.219906,-0.935161;Maine-et-Loire
GALERIE HASY;;;;21 Grande Rue;;44510;;LE POULIGUEN;;44135;47.27698;-2.42995;;06 64 84 06 01;02 40 53 27 65;;contact@hasy.fr;http://www.hasy.fr;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||||||||;;;;;;;47.27698,-2.42995;Loire-Atlantique
L' ATELIER CÉRAMIQUE;Peinture;;;21 Route de Kerhué;;44350;;SAINT-MOLF;;44183;47.39708;-2.42916;;06 49 98 61 26;06 69 98 84 70;;contact@bmarionneau.fr;http://www.bmarionneau.fr;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.39708,-2.42916;Loire-Atlantique
LE PALUDIER - MAISON BOURDIC;;;;23 rue Saint-Michel;Intra-muros;44350;;GUERANDE;;44069;47.32746;-2.42778;;;09 71 59 14 89;;boutique@lepaludier.com;http://www.lepaludier.com/;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.32746,-2.42778;Loire-Atlantique
IMPRIM'SERVICES;;;;26 Rue Bernard Palissy;;53960;;BONCHAMP-LES-LAVAL;;53034;48.07186;-0.72185;;;02 43 49 45 26;;;;;;;;Industrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.07186,-0.72185;Mayenne
FERME DE LA PLAUNAIS;"Fromage et produit laitier;Viande";;;26 rue de la Plaunais;;44115;;HAUTE-GOULAINE;;44071;47.2133345;-1.4249942;;;02 40 06 13 78;;elevage-de-la-goulaine@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2133345,-1.4249942;Loire-Atlantique
