Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
ETHIC ETAPES LAC DE MAINE;Non classé;Hôtel;;;49 Avenue du Lac de Maine;;49000;ANGERS;;49007;47.4632;-0.59497;;;02 41 22 32 10;02 41 22 32 11;;http://www.ethic-etapes-angers.fr;;Facebook||https://www.facebook.com/EthicEtapesAngers/;;;"Restaurant;WiFi";"Accueil Vélo;La Loire à vélo";;;;;;;non;"EV6-La Loire à Vélo;La Vallée du Loir à vélo;Vélo Francette - Loire à Vélo";59;14;3;;"Anglais;Français";oui;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/08/2020||30/10/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/12/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.4632,-0.59497;Maine-et-Loire
KYRIAD;Non classé;Hôtel - Restaurant;;;165 Boulevard des Trappistines;;53000;LAVAL;;53130;48.0589383;-0.7769065;;;02.43.02.88.88;;;http://www.kyriad-laval.fr;;;;;"Restaurant;WiFi";;Kyriad;;;;oui;;non;;65;12;3;;Anglais;oui;oui;oui;;;;;;;48.0589383,-0.7769065;Mayenne
AL TEST 5;Non classé;Hôtel;;;70 rue baudrière;;49100;ANGERS;;49007;47.4715963;-0.5552032;;;0320202020;;;https://www.faire-savoir.com;;;;;"Climatisation;Local vélo;Parking privé;WiFi";;;;;;;;non;;;;;;;;;;;;;;;;47.4715963,-0.5552032;Maine-et-Loire
21 FOCH;Non classé;Hôtel;;;21 Boulevard Maréchal Foch;;49100;ANGERS;;49007;47.46826;-0.55033;;;02 30 31 41 00;;;http://www.21foch.fr;;Facebook||https://www.facebook.com/hotel21foch/;;;"Climatisation;WiFi";;;;;;;;non;;12;;1;;"Anglais;Français";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.46826,-0.55033;Maine-et-Loire
HÔTEL DE FRANCE;4 étoiles;Hôtel;;;8 place de la Gare;;49100;ANGERS;;49007;47.46517;-0.55718;;;02 41 88 49 42;02 41 87 19 50;;http://www.hoteldefrance-angers.com;;Facebook||http://www.facebook.com/hoteldefrance.angers;;;"Climatisation;Restaurant;WiFi";"Accueil Vélo;Clef Verte;La Loire à vélo;Vignobles et découvertes";;;;;;;non;"EV6-La Loire à Vélo;La Vallée du Loir à vélo;Vélo Francette - Halage Mayenne;Vélo Francette - Loire à Vélo";55;;;;"Anglais;Espagnol;Français";oui;;;"01/01/2021||31/03/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;03/05/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;Petit-déjeuner / pers||19,50||||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.46517,-0.55718;Maine-et-Loire
MAISON MARSOLLIER;Non classé;Hôtel - Restaurant;;;23 Chemin du Préfet;;53960;BONCHAMP-LES-LAVAL;;53034;48.0670143;-0.7019603;;;02 34 08 75 38;;;;;;;;;;;;;;;;non;;6;;;;;oui;;oui;;;;;;;48.0670143,-0.7019603;Mayenne
HÔTEL DU MAIL;3 étoiles;Hôtel;;;8 rue des Ursules;;49100;ANGERS;;49007;47.47115;-0.5489;;;02 41 25 05 25;02 41 86 91 20;;http://www.hoteldumail.fr;;"Twitter||https://twitter.com/HotelduMail;Facebook||https://www.facebook.com/hoteldumail";;;"Parking privé;WiFi";;;;;;oui;10€;non;;25;2;2;;"Anglais;Espagnol;Français;Italien";;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||29/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.47115,-0.5489;Maine-et-Loire
HÔTEL ANNE D'ANJOU;4 étoiles;Hôtel;;;32 Quai Mayaud;;49400;SAUMUR;;49328;47.257956;-0.070837;;;02 41 67 30 30;;;https://hotel-anneanjou.com;;"Tripadvisor||;Facebook||https://www.facebook.com/hotel.saumur.anne.anjou;Google+||https://maps.google.com/?cid=8312221285663163362;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187199-d235784-Reviews-Anne_d_Anjou_Hotel_Spa-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;"Climatisation;Espace bien-être;Parking privé;Piscine;Restaurant;WiFi";Qualité Tourisme;The Originals Hotels;;;;oui;8 €;non;"EV6-La Loire à Vélo;V44-De Loir en Loire;Vélo Francette - Loire à Vélo";41;11;1;;"Anglais;Espagnol;Français";oui;;oui;03/01/2022||23/12/2022||Ouvert 24h/24.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||77,00||162,00||;Petit-déjeuner / pers||15,00||15,00||";"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.257956,-0.070837;Maine-et-Loire
MERCURE CHOLET CENTRE;4 étoiles;Hôtel;;;81 place Travot;;49300;CHOLET;;49099;47.06153;-0.88098;;;02 41 29 40 25;02 41 29 40 26;;http://www.mercure.com;;Tripadvisor||;;"<div id=""TA_selfserveprop67"" class=""TA_selfserveprop"">;<ul id=""kVstFE8IKu1"" class=""TA_links 1LQtuEgIps"">;<li id=""BZip8A3czFV"" class=""pvhlNk69OkAo"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&uniq=67&locationId=3445589&lang=fr&rating=true&nreviews=2&writereviewlink=true&popIdx=false&iswide=true&border=false""></script>";"Climatisation;WiFi";;Mercure;;;;oui;7;non;;68;15;3;;"Anglais;Français";oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre single||98,00||229,00||;Chambre double||98,00||229,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.06153,-0.88098;Maine-et-Loire
HÔTEL LA CROIX BLANCHE FONTEVRAUD;3 étoiles;Hôtel - Restaurant;;;5-7, place des Plantagenêts;;49590;FONTEVRAUD-L'ABBAYE;;49140;47.18193;0.049848;;;02 41 51 71 11;;;https://www.hotel-croixblanche.com;;"Tripadvisor||;Facebook||https://www.facebook.com/fontevraud;Google+||https://www.google.com/maps/place/Hotel+La+Croix+Blanche+Fontevraud/@47.1819298,0.0498478,15z/data=!4m18!1m9!3m8!1s0x0:0x880efb96a9198a1b!2sHotel+La+Croix+Blanche+Fontevraud!5m2!4m1!1i2!8m2!3d47.1819298!4d0.0498478!3m7!1s0x0:0x880efb96a9198a1b!5m2!4m1!1i2!8m2!3d47.1819298!4d0.0498478;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187193-d263993-Reviews-Hotel_La_Croix_Blanche_Fontevraud-Fontevraud_l_Abbaye_Maine_et_Loire_Pays_de_la_Loire.html";;;"Local vélo;Parking privé;Piscine;Restaurant;WiFi";Vignobles et découvertes;Logis;;Hôtel Elégance;;;;non;EV6-La Loire à Vélo;24;5;1;;"Allemand;Anglais;Espagnol;Français;Néerlandais";oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://resa.ot-saumur.fr/reserver/hotel/zscroix.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;Chambre double||79,00||||tarif selon occupation et saison;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.18193,0.049848;Maine-et-Loire
L'HÔTELLERIE DE LA TOILE A BEURRE;;;;;82 Rue St Pierre;;44150;ANCENIS-SAINT-GEREON;;44003;47.366484;-1.175515;;;02 40 98 89 64;;;http://www.latoileabeurre.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1051955-d12427762-Reviews-L_hotellerie_de_la_Toile_a_Beurre-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html;;"<div id=""TA_selfserveprop255"" class=""TA_selfserveprop""><ul id=""80JVlgcdUo4"" class=""TA_links xx2MQNI12mZ""><li id=""6a9QEr"" class=""Ubm0EvVunK""><a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a></li></ul></div><script async src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=255&amp;locationId=12427762&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>";WiFi;;;;;;non;;non;;8;;;;"Anglais;Français";;;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.366484,-1.175515;Loire-Atlantique
LA BOULE D'OR;2 étoiles;Hôtel;;;56 Rue Joachim du Bellay;;49690;CORON;;49109;47.12711;-0.64546;;06 62 59 57 35;02 41 49 07 30;02 41 49 07 39;;http://www.labouledor-coron.com;;Tripadvisor||;;"<div id=""TA_selfserveprop107"" class=""TA_selfserveprop"">;<ul id=""DAjXi2D"" class=""TA_links EvVePNzI6Bo"">;<li id=""J2FeF2"" class=""IzQLP4dkW"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&uniq=107&locationId=1954133&lang=fr&rating=true&nreviews=2&writereviewlink=true&popIdx=false&iswide=true&border=false""></script>";"Restaurant;WiFi";;Logis;;;;oui;5;non;;7;1;;;"Anglais;Français";;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.12711,-0.64546;Maine-et-Loire
HÔTEL CAMPANILE ANGERS OUEST BEAUCOUZÉ;3 étoiles;Hôtel;;;Avenue Paul Prosper Guilhem;ZAC de l'Hoirie;49070;BEAUCOUZE;;49020;47.46908;-0.61624;;;02 41 36 06 60;02 41 36 06 50;;https://angers-ouest-beaucouze.campanile.com/fr-fr/;;;;;"Climatisation;WiFi";;Campanile;;;;oui;;non;;73;;3;;"Anglais;Espagnol;Français;Italien";oui;;;"01/01/2020||15/03/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/06/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Chambre double||49,00||75,00||;Taxe de séjour / nuit / pers||1,00||||;Petit-déjeuner / pers||10,90||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.46908,-0.61624;Maine-et-Loire
HÔTEL LE SAINT PIERRE;Non classé;Hôtel;;;78 rue Nationale;CHEMILLE;49120;CHEMILLE-EN-ANJOU;;49092;47.2188374;-0.7280734;;;02 41 30 60 06;;;;;;;;"Parking privé;WiFi";;;;;;oui;;non;;5;;;;Anglais;;;oui;;M. GUIBERT Romain||02 41 30 60 06||lesaintpierre.chemille@gmail.com;;;;"Cartes bancaires;Espèces";47.2188374,-0.7280734;Maine-et-Loire
CHÂTEAU COLBERT;Non classé;Hôtel;;;Place du Château;BP 19;49360;MAULEVRIER;;49192;47.0064;-0.74702;;;02 41 55 51 33;02 41 55 09 02;;http://www.chateaucolbert.com;;Tripadvisor||;;"<div id=""TA_selfserveprop10"" class=""TA_selfserveprop"">;<ul id=""3QJpIs"" class=""TA_links KgyBO15BNBl"">;<li id=""8S9vOwJ"" class=""DPbq1IbDJez"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=10&amp;locationId=565707&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";"Restaurant;WiFi";;;;;;oui;8 €;non;;20;4;;;"Anglais;Espagnol;Français";oui;;;09/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.0064,-0.74702;Maine-et-Loire
